;Unnamed: 0;AanestysId;Ryhma;Jaa;Ei;Tyhjia;Poissa;Yhteensa;Tyyppi;IstuntoVPVuosi;IstuntoPvm;AanestysMitatoity;KohtaKasittelyVaihe;AanestysValtiopaivaasia
0;634516;36087;Keskustan eduskuntaryhmä;47;0;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
1;634517;36087;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
2;634518;36087;Kansallisen kokoomuksen eduskuntaryhmä;33;1;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
3;634519;36087;Sosialidemokraattinen eduskuntaryhmä;31;0;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
4;634520;36087;Vihreä eduskuntaryhmä;7;7;0;1;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
5;634521;36087;Vasemmistoliiton eduskuntaryhmä;12;0;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
6;634522;36087;Ruotsalainen eduskuntaryhmä;0;9;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
7;634523;36087;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
8;634524;36087;Hallitusryhmät;114;1;0;8;123;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
9;634525;36087;Oppositioryhmät;50;21;0;5;76;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
20;634566;36089;Keskustan eduskuntaryhmä;47;0;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
21;634567;36089;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
22;634568;36089;Kansallisen kokoomuksen eduskuntaryhmä;35;0;0;2;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
23;634569;36089;Sosialidemokraattinen eduskuntaryhmä;0;31;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
24;634570;36089;Vihreä eduskuntaryhmä;0;15;0;0;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
25;634571;36089;Vasemmistoliiton eduskuntaryhmä;0;12;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
26;634572;36089;Ruotsalainen eduskuntaryhmä;0;9;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
27;634573;36089;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
28;634574;36089;Hallitusryhmät;116;0;0;7;123;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
29;634575;36089;Oppositioryhmät;0;72;0;4;76;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
40;634616;36091;Keskustan eduskuntaryhmä;46;1;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
41;634617;36091;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
42;634618;36091;Kansallisen kokoomuksen eduskuntaryhmä;30;5;0;2;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
43;634619;36091;Sosialidemokraattinen eduskuntaryhmä;31;0;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
44;634620;36091;Vihreä eduskuntaryhmä;15;0;0;0;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
45;634621;36091;Vasemmistoliiton eduskuntaryhmä;12;0;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
46;634622;36091;Ruotsalainen eduskuntaryhmä;0;9;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
47;634623;36091;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
48;634624;36091;Hallitusryhmät;110;6;0;7;123;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
49;634625;36091;Oppositioryhmät;58;14;0;4;76;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
60;634666;36093;Keskustan eduskuntaryhmä;47;0;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
61;634667;36093;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
62;634668;36093;Kansallisen kokoomuksen eduskuntaryhmä;35;0;0;2;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
63;634669;36093;Sosialidemokraattinen eduskuntaryhmä;0;31;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
64;634670;36093;Vihreä eduskuntaryhmä;0;15;0;0;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
65;634671;36093;Vasemmistoliiton eduskuntaryhmä;0;12;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
66;634672;36093;Ruotsalainen eduskuntaryhmä;5;4;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
67;634673;36093;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
68;634674;36093;Hallitusryhmät;116;0;0;7;123;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
69;634675;36093;Oppositioryhmät;5;67;0;4;76;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
80;634716;36095;Keskustan eduskuntaryhmä;47;0;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
81;634717;36095;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
82;634718;36095;Kansallisen kokoomuksen eduskuntaryhmä;35;0;0;2;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
83;634719;36095;Sosialidemokraattinen eduskuntaryhmä;0;31;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
84;634720;36095;Vihreä eduskuntaryhmä;0;15;0;0;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
85;634721;36095;Vasemmistoliiton eduskuntaryhmä;0;12;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
86;634722;36095;Ruotsalainen eduskuntaryhmä;0;9;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
87;634723;36095;Kristillisdemokraattinen eduskuntaryhmä;0;3;2;0;5;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
88;634724;36095;Hallitusryhmät;116;0;0;7;123;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
89;634725;36095;Oppositioryhmät;0;70;2;4;76;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
100;634766;36097;Keskustan eduskuntaryhmä;47;0;0;2;49;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
101;634767;36097;Perussuomalaisten eduskuntaryhmä;34;0;0;3;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
102;634768;36097;Kansallisen kokoomuksen eduskuntaryhmä;35;0;0;2;37;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
103;634769;36097;Sosialidemokraattinen eduskuntaryhmä;0;31;0;3;34;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
104;634770;36097;Vihreä eduskuntaryhmä;0;15;0;0;15;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
105;634771;36097;Vasemmistoliiton eduskuntaryhmä;1;11;0;0;12;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
106;634772;36097;Ruotsalainen eduskuntaryhmä;5;4;0;1;10;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
107;634773;36097;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
108;634774;36097;Hallitusryhmät;116;0;0;7;123;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
109;634775;36097;Oppositioryhmät;6;66;0;4;76;hallitusoppositio;2015.0;2015-06-30 00:00:00;0.0;Ainoa käsittely;HE 9/2015 vp
230;635076;36109;Keskustan eduskuntaryhmä;41;0;0;8;49;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
231;635077;36109;Kansallisen kokoomuksen eduskuntaryhmä;32;0;0;5;37;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
232;635078;36109;Perussuomalaisten eduskuntaryhmä;28;0;0;8;36;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
233;635079;36109;Sosialidemokraattinen eduskuntaryhmä;0;25;0;9;34;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
234;635080;36109;Vihreä eduskuntaryhmä;0;12;0;3;15;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
235;635081;36109;Vasemmistoliiton eduskuntaryhmä;0;10;0;2;12;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
236;635082;36109;Ruotsalainen eduskuntaryhmä;0;8;0;2;10;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
237;635083;36109;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
238;635084;36109;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
239;635085;36109;Hallitusryhmät;101;0;0;21;122;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
240;635086;36109;Oppositioryhmät;1;60;0;16;77;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
252;635128;36111;Keskustan eduskuntaryhmä;42;0;0;7;49;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
253;635129;36111;Kansallisen kokoomuksen eduskuntaryhmä;32;0;0;5;37;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
254;635130;36111;Perussuomalaisten eduskuntaryhmä;28;0;0;8;36;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
255;635131;36111;Sosialidemokraattinen eduskuntaryhmä;0;25;0;9;34;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
256;635132;36111;Vihreä eduskuntaryhmä;0;12;0;3;15;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
257;635133;36111;Vasemmistoliiton eduskuntaryhmä;0;10;0;2;12;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
258;635134;36111;Ruotsalainen eduskuntaryhmä;0;8;0;2;10;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
259;635135;36111;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
260;635136;36111;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
261;635137;36111;Hallitusryhmät;102;0;0;20;122;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
262;635138;36111;Oppositioryhmät;1;60;0;16;77;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
274;635180;36113;Keskustan eduskuntaryhmä;43;0;0;6;49;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
275;635181;36113;Kansallisen kokoomuksen eduskuntaryhmä;32;0;0;5;37;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
276;635182;36113;Perussuomalaisten eduskuntaryhmä;27;1;0;8;36;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
277;635183;36113;Sosialidemokraattinen eduskuntaryhmä;0;26;0;8;34;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
278;635184;36113;Vihreä eduskuntaryhmä;0;12;0;3;15;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
279;635185;36113;Vasemmistoliiton eduskuntaryhmä;0;10;0;2;12;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
280;635186;36113;Ruotsalainen eduskuntaryhmä;8;0;0;2;10;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
281;635187;36113;Kristillisdemokraattinen eduskuntaryhmä;5;0;0;0;5;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
282;635188;36113;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
283;635189;36113;Hallitusryhmät;102;1;0;19;122;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
284;635190;36113;Oppositioryhmät;14;48;0;15;77;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
296;635232;36115;Keskustan eduskuntaryhmä;43;0;0;6;49;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
297;635233;36115;Kansallisen kokoomuksen eduskuntaryhmä;32;0;0;5;37;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
298;635234;36115;Perussuomalaisten eduskuntaryhmä;27;0;0;9;36;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
299;635235;36115;Sosialidemokraattinen eduskuntaryhmä;0;26;0;8;34;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
300;635236;36115;Vihreä eduskuntaryhmä;0;12;0;3;15;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
301;635237;36115;Vasemmistoliiton eduskuntaryhmä;0;10;0;2;12;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
302;635238;36115;Ruotsalainen eduskuntaryhmä;8;0;0;2;10;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
303;635239;36115;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
304;635240;36115;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
305;635241;36115;Hallitusryhmät;102;0;0;20;122;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
306;635242;36115;Oppositioryhmät;9;53;0;15;77;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
318;635284;36117;Keskustan eduskuntaryhmä;42;0;0;7;49;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
319;635285;36117;Kansallisen kokoomuksen eduskuntaryhmä;32;0;0;5;37;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
320;635286;36117;Perussuomalaisten eduskuntaryhmä;27;0;0;9;36;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
321;635287;36117;Sosialidemokraattinen eduskuntaryhmä;0;26;0;8;34;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
322;635288;36117;Vihreä eduskuntaryhmä;0;12;0;3;15;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
323;635289;36117;Vasemmistoliiton eduskuntaryhmä;0;10;0;2;12;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
324;635290;36117;Ruotsalainen eduskuntaryhmä;8;0;0;2;10;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
325;635291;36117;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
326;635292;36117;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
327;635293;36117;Hallitusryhmät;101;0;0;21;122;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
328;635294;36117;Oppositioryhmät;9;53;0;15;77;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
340;635336;36119;Keskustan eduskuntaryhmä;43;0;0;6;49;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
341;635337;36119;Kansallisen kokoomuksen eduskuntaryhmä;32;0;0;5;37;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
342;635338;36119;Perussuomalaisten eduskuntaryhmä;28;0;0;8;36;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
343;635339;36119;Sosialidemokraattinen eduskuntaryhmä;0;26;0;8;34;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
344;635340;36119;Vihreä eduskuntaryhmä;0;12;0;3;15;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
345;635341;36119;Vasemmistoliiton eduskuntaryhmä;0;10;0;2;12;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
346;635342;36119;Ruotsalainen eduskuntaryhmä;0;8;0;2;10;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
347;635343;36119;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
348;635344;36119;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
349;635345;36119;Hallitusryhmät;103;0;0;19;122;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
350;635346;36119;Oppositioryhmät;1;61;0;15;77;hallitusoppositio;2015.0;2015-10-09 00:00:00;0.0;Ainoa käsittely;HE 19/2015 vp
362;635388;36121;Keskustan eduskuntaryhmä;35;0;0;14;49;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
363;635389;36121;Kansallisen kokoomuksen eduskuntaryhmä;28;0;0;9;37;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
364;635390;36121;Perussuomalaisten eduskuntaryhmä;25;0;0;11;36;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
365;635391;36121;Sosialidemokraattinen eduskuntaryhmä;0;26;0;8;34;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
366;635392;36121;Vihreä eduskuntaryhmä;0;11;0;4;15;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
367;635393;36121;Vasemmistoliiton eduskuntaryhmä;0;8;0;4;12;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
368;635394;36121;Ruotsalainen eduskuntaryhmä;7;0;0;3;10;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
369;635395;36121;Kristillisdemokraattinen eduskuntaryhmä;1;2;0;2;5;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
370;635396;36121;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
371;635397;36121;Hallitusryhmät;88;0;0;34;122;hallitusoppositio;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
372;635398;36121;Oppositioryhmät;9;47;0;21;77;hallitusoppositio;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
384;635440;36123;Keskustan eduskuntaryhmä;36;0;0;13;49;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
385;635441;36123;Kansallisen kokoomuksen eduskuntaryhmä;28;0;0;9;37;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
386;635442;36123;Perussuomalaisten eduskuntaryhmä;25;0;0;11;36;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
387;635443;36123;Sosialidemokraattinen eduskuntaryhmä;0;27;0;7;34;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
388;635444;36123;Vihreä eduskuntaryhmä;0;11;0;4;15;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
389;635445;36123;Vasemmistoliiton eduskuntaryhmä;0;8;0;4;12;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
390;635446;36123;Ruotsalainen eduskuntaryhmä;7;0;0;3;10;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
391;635447;36123;Kristillisdemokraattinen eduskuntaryhmä;1;2;0;2;5;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
392;635448;36123;Eduskuntaryhmä Immonen;1;0;0;0;1;eduskuntaryhma;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
393;635449;36123;Hallitusryhmät;89;0;0;33;122;hallitusoppositio;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
394;635450;36123;Oppositioryhmät;9;48;0;20;77;hallitusoppositio;2015.0;2015-10-21 00:00:00;0.0;Toinen käsittely;HE 26/2015 vp
1230;637546;36207;Keskustan eduskuntaryhmä;37;0;0;12;49;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
1231;637547;36207;Kansallisen kokoomuksen eduskuntaryhmä;31;0;0;6;37;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
1232;637548;36207;Perussuomalaisten eduskuntaryhmä;32;0;0;5;37;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
1233;637549;36207;Sosialidemokraattinen eduskuntaryhmä;0;27;0;7;34;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
1234;637550;36207;Vihreä eduskuntaryhmä;0;13;0;2;15;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
1235;637551;36207;Vasemmistoliiton eduskuntaryhmä;0;9;0;3;12;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
1236;637552;36207;Ruotsalainen eduskuntaryhmä;0;5;0;5;10;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
1237;637553;36207;Kristillisdemokraattinen eduskuntaryhmä;0;5;0;0;5;eduskuntaryhma;2015.0;2015-11-20 00:00:00;0.0;Toinen käsittely;HE 33/2015 vp
